player_id,direction,origin_league,destination_league,origin_season,destination_season,origin_team,destination_team,seasons_gap,player_age_at_migration
1502,EL_to_NBA,EuroLeague,NBA,2010/11,2011/12,FC Barcelona,TOR,0,29
1506,EL_to_NBA,EuroLeague,NBA,2009/10,2010/11,Fenerbahce Beko Istanbul,CHI,0,24
1511,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,ATL,Maccabi Rapyd Tel Aviv,1,24
1511,NBA_to_EL,NBA,EuroLeague,2006/07,2007/08,ATL,Maccabi Rapyd Tel Aviv,0,24
1516,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,PHI,Zalgiris Kaunas,1,28
1518,NBA_to_EL,NBA,EuroLeague,2011/12,2012/13,SAS,ALBA Berlin,0,28
1523,NBA_to_EL,NBA,EuroLeague,2006/07,2007/08,TOT,Virtus Bologna,0,25
1523,EL_to_NBA,EuroLeague,NBA,2007/08,2009/10,Virtus Bologna,HOU,1,27
1535,EL_to_NBA,EuroLeague,NBA,2007/08,2008/09,KK Cedevita Olimpija,PHX,0,22
1535,NBA_to_EL,NBA,EuroLeague,2010/11,2011/12,TOT,Baskonia Vitoria-Gasteiz,0,25
1535,EL_to_NBA,EuroLeague,NBA,2011/12,2012/13,Baskonia Vitoria-Gasteiz,PHX,0,26
1540,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,NOK,Maccabi Rapyd Tel Aviv,1,29
1542,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,MIL,EA7 Emporio Armani Milan,1,26
1555,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,TOT,Olympiacos Piraeus,1,32
1555,NBA_to_EL,NBA,EuroLeague,2006/07,2007/08,NOK,Olympiacos Piraeus,0,32
1556,NBA_to_EL,NBA,EuroLeague,2006/07,2007/08,NOK,Baskonia Vitoria-Gasteiz,0,27
1556,EL_to_NBA,EuroLeague,NBA,2007/08,2008/09,Baskonia Vitoria-Gasteiz,TOT,0,28
1584,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,ORL,Maccabi Rapyd Tel Aviv,1,28
1585,EL_to_NBA,EuroLeague,NBA,2011/12,2012/13,Arka Gdynia,HOU,0,22
1592,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,UTA,Partizan Mozzart Bet Belgrade,1,29
1601,NBA_to_EL,NBA,EuroLeague,2006/07,2007/08,BOS,Pallacanestro Virtus Roma,0,23
1608,EL_to_NBA,EuroLeague,NBA,2008/09,2010/11,Baskonia Vitoria-Gasteiz,WAS,1,26
1608,NBA_to_EL,NBA,EuroLeague,2013/14,2014/15,OKC,Neptunas Klaipeda,0,30
1610,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,LAC,Baskonia Vitoria-Gasteiz,1,26
1610,NBA_to_EL,NBA,EuroLeague,2006/07,2007/08,LAC,Baskonia Vitoria-Gasteiz,0,26
1610,EL_to_NBA,EuroLeague,NBA,2007/08,2008/09,Baskonia Vitoria-Gasteiz,DAL,0,27
1612,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,TOR,Arka Gdynia,1,26
1612,NBA_to_EL,NBA,EuroLeague,2006/07,2007/08,TOR,Arka Gdynia,0,26
1618,EL_to_NBA,EuroLeague,NBA,2015/16,2017/18,CSKA Moscow,LAC,1,30
1618,EL_to_NBA,EuroLeague,NBA,2016/17,2017/18,CSKA Moscow,LAC,0,30
1620,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,MEM,Olympiacos Piraeus,1,28
1620,NBA_to_EL,NBA,EuroLeague,2006/07,2007/08,TOT,Olympiacos Piraeus,0,28
1623,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,NOK,Rytas Vilnius,1,26
1625,NBA_to_EL,NBA,EuroLeague,2006/07,2007/08,GSW,Arka Gdynia,0,24
1630,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,TOR,Anadolu Efes Istanbul,1,29
1630,NBA_to_EL,NBA,EuroLeague,2007/08,2008/09,HOU,Zalgiris Kaunas,0,30
1631,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,NYK,Olympiacos Piraeus,1,26
1632,NBA_to_EL,NBA,EuroLeague,2005/06,2007/08,MIN,Aris Thessaloniki,1,23
1632,NBA_to_EL,NBA,EuroLeague,2006/07,2007/08,MIN,Aris Thessaloniki,0,23
1636,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,UTA,Maccabi Rapyd Tel Aviv,1,24
1637,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,NOK,Olympiacos Piraeus,1,29
1637,NBA_to_EL,NBA,EuroLeague,2007/08,2008/09,NOH,Olympiacos Piraeus,0,29
1637,EL_to_NBA,EuroLeague,NBA,2008/09,2009/10,Olympiacos Piraeus,CHI,0,30
1642,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,CHI,FC Barcelona,1,26
1642,NBA_to_EL,NBA,EuroLeague,2007/08,2008/09,LAC,FC Barcelona,0,26
1653,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,ATL,Olympiacos Piraeus,1,25
1653,NBA_to_EL,NBA,EuroLeague,2007/08,2008/09,ATL,Olympiacos Piraeus,0,25
1653,EL_to_NBA,EuroLeague,NBA,2008/09,2010/11,Olympiacos Piraeus,PHX,1,27
1653,EL_to_NBA,EuroLeague,NBA,2009/10,2010/11,Olympiacos Piraeus,PHX,0,27
1662,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,LAC,Arka Gdynia,1,25
1663,EL_to_NBA,EuroLeague,NBA,2008/09,2010/11,Club Joventut Badalona,CLE,1,21
1663,NBA_to_EL,NBA,EuroLeague,2011/12,2013/14,TOT,GSS Akcyjna,1,24
1674,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,WAS,EA7 Emporio Armani Milan,1,24
1676,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,MEM,KK Cedevita Olimpija,1,28
1686,EL_to_NBA,EuroLeague,NBA,2008/09,2009/10,Pallacanestro Virtus Roma,MIL,0,20
1687,NBA_to_EL,NBA,EuroLeague,2007/08,2008/09,CLE,Anadolu Efes Istanbul,0,25
1690,EL_to_NBA,EuroLeague,NBA,2013/14,2015/16,CSKA Moscow,CLE,1,30
1690,EL_to_NBA,EuroLeague,NBA,2014/15,2015/16,CSKA Moscow,CLE,0,30
1698,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,IND,KK Cibona,1,26
1699,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,DAL,Club Joventut Badalona,1,25
1699,EL_to_NBA,EuroLeague,NBA,2008/09,2009/10,Club Joventut Badalona,TOT,0,26
1699,EL_to_NBA,EuroLeague,NBA,2009/10,2010/11,CSKA Moscow,NOH,0,27
1726,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,SAC,EA7 Emporio Armani Milan,1,32
1734,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,TOT,SS Felice Scandone,1,24
1735,NBA_to_EL,NBA,EuroLeague,2006/07,2008/09,MIA,Maccabi Rapyd Tel Aviv,1,25
1735,NBA_to_EL,NBA,EuroLeague,2007/08,2008/09,MIA,Maccabi Rapyd Tel Aviv,0,25
1735,EL_to_NBA,EuroLeague,NBA,2008/09,2009/10,Maccabi Rapyd Tel Aviv,ORL,0,26
1739,EL_to_NBA,EuroLeague,NBA,2009/10,2010/11,Unicaja Malaga,PHX,0,26
1747,EL_to_NBA,EuroLeague,NBA,2012/13,2013/14,KK Cedevita Olimpija,SAS,0,27
1767,NBA_to_EL,NBA,EuroLeague,2007/08,2009/10,TOT,Unicaja Malaga,1,31
1767,NBA_to_EL,NBA,EuroLeague,2008/09,2009/10,WAS,Unicaja Malaga,0,31
1782,EL_to_NBA,EuroLeague,NBA,2009/10,2010/11,Unicaja Malaga,SAC,0,27
1788,NBA_to_EL,NBA,EuroLeague,2007/08,2009/10,DEN,Olympiacos Piraeus,1,24
1788,NBA_to_EL,NBA,EuroLeague,2008/09,2009/10,DEN,Olympiacos Piraeus,0,24
1788,EL_to_NBA,EuroLeague,NBA,2009/10,2010/11,Olympiacos Piraeus,TOR,0,25
1788,NBA_to_EL,NBA,EuroLeague,2011/12,2013/14,TOR,Fenerbahce Beko Istanbul,1,28
1788,NBA_to_EL,NBA,EuroLeague,2012/13,2013/14,TOR,Fenerbahce Beko Istanbul,0,28
1803,NBA_to_EL,NBA,EuroLeague,2013/14,2014/15,DAL,BC Nizhny Novgorod,0,26
1803,NBA_to_EL,NBA,EuroLeague,2014/15,2015/16,NOP,Crvena Zvezda Meridianbet Belgrade,0,27
1808,EL_to_NBA,EuroLeague,NBA,2009/10,2010/11,BC Khimki,TOT,0,24
1829,NBA_to_EL,NBA,EuroLeague,2008/09,2009/10,TOT,Baskonia Vitoria-Gasteiz,0,24
1838,NBA_to_EL,NBA,EuroLeague,2007/08,2009/10,TOT,Olympiacos Piraeus,1,24
1838,NBA_to_EL,NBA,EuroLeague,2008/09,2009/10,HOU,Olympiacos Piraeus,0,24
1838,EL_to_NBA,EuroLeague,NBA,2009/10,2010/11,Olympiacos Piraeus,BOS,0,25
1849,EL_to_NBA,EuroLeague,NBA,2013/14,2015/16,Fenerbahce Beko Istanbul,MIN,1,27
1849,EL_to_NBA,EuroLeague,NBA,2014/15,2015/16,Fenerbahce Beko Istanbul,MIN,0,27
1849,NBA_to_EL,NBA,EuroLeague,2020/21,2022/23,TOT,Fenerbahce Beko Istanbul,1,34
1849,NBA_to_EL,NBA,EuroLeague,2021/22,2022/23,GSW,Fenerbahce Beko Istanbul,0,34
1876,EL_to_NBA,EuroLeague,NBA,2012/13,2014/15,FC Barcelona,UTA,1,27
1876,EL_to_NBA,EuroLeague,NBA,2013/14,2014/15,Maccabi Rapyd Tel Aviv,UTA,0,27
1892,EL_to_NBA,EuroLeague,NBA,2013/14,2015/16,Crvena Zvezda Meridianbet Belgrade,SAS,1,27
1892,EL_to_NBA,EuroLeague,NBA,2014/15,2015/16,Crvena Zvezda Meridianbet Belgrade,SAS,0,27
1892,NBA_to_EL,NBA,EuroLeague,2022/23,2024/25,HOU,Fenerbahce Beko Istanbul,1,36
1892,NBA_to_EL,NBA,EuroLeague,2023/24,2024/25,HOU,Fenerbahce Beko Istanbul,0,36
1894,NBA_to_EL,NBA,EuroLeague,2008/09,2010/11,CHA,Fenerbahce Beko Istanbul,1,26
1894,NBA_to_EL,NBA,EuroLeague,2009/10,2010/11,SAC,Fenerbahce Beko Istanbul,0,26
1898,NBA_to_EL,NBA,EuroLeague,2008/09,2010/11,ATL,Anadolu Efes Istanbul,1,31
1898,NBA_to_EL,NBA,EuroLeague,2009/10,2010/11,TOT,Anadolu Efes Istanbul,0,31
1901,NBA_to_EL,NBA,EuroLeague,2008/09,2010/11,IND,Olympiacos Piraeus,1,34
1901,NBA_to_EL,NBA,EuroLeague,2009/10,2010/11,TOR,Olympiacos Piraeus,0,34
1906,NBA_to_EL,NBA,EuroLeague,2008/09,2010/11,WAS,EA7 Emporio Armani Milan,1,25
1906,NBA_to_EL,NBA,EuroLeague,2009/10,2010/11,MIN,EA7 Emporio Armani Milan,0,25
1908,EL_to_NBA,EuroLeague,NBA,2011/12,2013/14,Partizan Mozzart Bet Belgrade,MIL,1,25
1908,NBA_to_EL,NBA,EuroLeague,2013/14,2015/16,MIL,Panathinaikos AKTOR Athens,1,27
1908,NBA_to_EL,NBA,EuroLeague,2014/15,2015/16,MIN,Panathinaikos AKTOR Athens,0,27
1910,NBA_to_EL,NBA,EuroLeague,2008/09,2010/11,ORL,Valencia Basket,1,26
1923,EL_to_NBA,EuroLeague,NBA,2010/11,2012/13,Rytas Vilnius,TOR,1,20
1928,NBA_to_EL,NBA,EuroLeague,2009/10,2010/11,OKC,Arka Gdynia,0,31
1933,EL_to_NBA,EuroLeague,NBA,2013/14,2014/15,Galatasaray Spor Kulubu,PHI,0,23
1933,NBA_to_EL,NBA,EuroLeague,2014/15,2015/16,PHI,Darussafaka Basketbol,0,24
1939,EL_to_NBA,EuroLeague,NBA,2014/15,2016/17,Baskonia Vitoria-Gasteiz,SAS,1,24
1939,EL_to_NBA,EuroLeague,NBA,2015/16,2016/17,Baskonia Vitoria-Gasteiz,SAS,0,24
1939,NBA_to_EL,NBA,EuroLeague,2023/24,2025/26,TOT,Dubai Basketball,1,33
1943,NBA_to_EL,NBA,EuroLeague,2009/10,2011/12,TOT,Arka Gdynia,1,33
1949,NBA_to_EL,NBA,EuroLeague,2010/11,2011/12,NJN,Maccabi Rapyd Tel Aviv,0,25
1949,NBA_to_EL,NBA,EuroLeague,2011/12,2012/13,NJN,Anadolu Efes Istanbul,0,26
1949,EL_to_NBA,EuroLeague,NBA,2011/12,2013/14,Maccabi Rapyd Tel Aviv,LAL,1,27
1949,EL_to_NBA,EuroLeague,NBA,2012/13,2013/14,Anadolu Efes Istanbul,LAL,0,27
1949,NBA_to_EL,NBA,EuroLeague,2014/15,2015/16,LAC,Maccabi Rapyd Tel Aviv,0,29
1949,EL_to_NBA,EuroLeague,NBA,2015/16,2016/17,Maccabi Rapyd Tel Aviv,SAC,0,30
1953,NBA_to_EL,NBA,EuroLeague,2010/11,2011/12,WAS,Arka Gdynia,0,24
1953,EL_to_NBA,EuroLeague,NBA,2011/12,2012/13,Arka Gdynia,CLE,0,25
1959,NBA_to_EL,NBA,EuroLeague,2010/11,2011/12,SAS,KK Cedevita Olimpija,0,24
1959,EL_to_NBA,EuroLeague,NBA,2011/12,2012/13,KK Cedevita Olimpija,SAS,0,25
1968,NBA_to_EL,NBA,EuroLeague,2009/10,2011/12,UTA,CSKA Moscow,1,30
1968,NBA_to_EL,NBA,EuroLeague,2010/11,2011/12,UTA,CSKA Moscow,0,30
1968,EL_to_NBA,EuroLeague,NBA,2011/12,2012/13,CSKA Moscow,MIN,0,31
1968,NBA_to_EL,NBA,EuroLeague,2013/14,2014/15,BKN,CSKA Moscow,0,33
1973,NBA_to_EL,NBA,EuroLeague,2009/10,2011/12,TOT,Olympiacos Piraeus;Partizan Mozzart Bet Belgrade,1,26
1973,NBA_to_EL,NBA,EuroLeague,2010/11,2011/12,TOT,Olympiacos Piraeus;Partizan Mozzart Bet Belgrade,0,26
1974,NBA_to_EL,NBA,EuroLeague,2010/11,2011/12,DEN,Zalgiris Kaunas,0,24
1974,EL_to_NBA,EuroLeague,NBA,2011/12,2012/13,Zalgiris Kaunas,DEN,0,25
1999,EL_to_NBA,EuroLeague,NBA,2014/15,2016/17,Anadolu Efes Istanbul,PHI,1,22
1999,EL_to_NBA,EuroLeague,NBA,2015/16,2016/17,Anadolu Efes Istanbul,PHI,0,22
2003,NBA_to_EL,NBA,EuroLeague,2010/11,2011/12,OKC,Fenerbahce Beko Istanbul,0,27
2003,EL_to_NBA,EuroLeague,NBA,2011/12,2012/13,Fenerbahce Beko Istanbul,OKC,0,28
2006,EL_to_NBA,EuroLeague,NBA,2011/12,2012/13,Real Madrid,DET,0,24
2022,NBA_to_EL,NBA,EuroLeague,2010/11,2011/12,GSW,Baskonia Vitoria-Gasteiz,0,25
2022,EL_to_NBA,EuroLeague,NBA,2011/12,2012/13,Baskonia Vitoria-Gasteiz,CHA,0,26
2029,NBA_to_EL,NBA,EuroLeague,2010/11,2012/13,WAS,Panathinaikos AKTOR Athens,1,28
2029,EL_to_NBA,EuroLeague,NBA,2012/13,2013/14,Panathinaikos AKTOR Athens,GSW,0,29
2031,NBA_to_EL,NBA,EuroLeague,2010/11,2012/13,TOR,Panathinaikos AKTOR Athens,1,31
2033,EL_to_NBA,EuroLeague,NBA,2015/16,2017/18,Fenerbahce Beko Istanbul,SAC,1,25
2033,EL_to_NBA,EuroLeague,NBA,2016/17,2017/18,Fenerbahce Beko Istanbul,SAC,0,25
2039,EL_to_NBA,EuroLeague,NBA,2012/13,2014/15,Elan Sportif Chalonnais,HOU,1,20
2043,EL_to_NBA,EuroLeague,NBA,2012/13,2013/14,CSKA Moscow,PHX,0,27
2061,EL_to_NBA,EuroLeague,NBA,2013/14,2015/16,FC Barcelona,ORL,1,20
2061,EL_to_NBA,EuroLeague,NBA,2014/15,2015/16,FC Barcelona,ORL,0,20
2061,NBA_to_EL,NBA,EuroLeague,2018/19,2020/21,NYK,Panathinaikos AKTOR Athens,1,25
2061,NBA_to_EL,NBA,EuroLeague,2019/20,2020/21,POR,Panathinaikos AKTOR Athens,0,25
2067,NBA_to_EL,NBA,EuroLeague,2010/11,2012/13,PHI,Panathinaikos AKTOR Athens,1,31
2067,NBA_to_EL,NBA,EuroLeague,2011/12,2012/13,LAL,Panathinaikos AKTOR Athens,0,31
2081,EL_to_NBA,EuroLeague,NBA,2012/13,2014/15,KK Cedevita Zagreb,DEN,1,20
2087,NBA_to_EL,NBA,EuroLeague,2010/11,2012/13,ATL,Olympiacos Piraeus,1,29
2087,EL_to_NBA,EuroLeague,NBA,2012/13,2013/14,Olympiacos Piraeus,HOU,0,30
2106,NBA_to_EL,NBA,EuroLeague,2010/11,2012/13,TOT,Elan Sportif Chalonnais,1,29
2106,NBA_to_EL,NBA,EuroLeague,2011/12,2012/13,NJN,Elan Sportif Chalonnais,0,29
2113,NBA_to_EL,NBA,EuroLeague,2011/12,2013/14,UTA,BC Budivelnyk,1,29
2125,NBA_to_EL,NBA,EuroLeague,2011/12,2013/14,PHI,GSS Akcyjna,1,26
