player_id,direction,origin_league,destination_league,origin_season,destination_season,origin_team,destination_team,seasons_gap,player_age_at_migration
2292,NBA_to_EL,NBA,EuroLeague,2020/21,2022/23,CHI,FC Barcelona,1,31
2292,NBA_to_EL,NBA,EuroLeague,2021/22,2022/23,WAS,FC Barcelona,0,31
2296,NBA_to_EL,NBA,EuroLeague,2012/13,2014/15,POR,Galatasaray Spor Kulubu,1,26
2298,NBA_to_EL,NBA,EuroLeague,2013/14,2014/15,TOT,Limoges Cercle Saint-Pierre,0,24
2314,NBA_to_EL,NBA,EuroLeague,2013/14,2014/15,MIL,PGE Turow Zgorzelec,0,26
2325,NBA_to_EL,NBA,EuroLeague,2014/15,2015/16,UTA,Panathinaikos AKTOR Athens,0,26
2327,NBA_to_EL,NBA,EuroLeague,2014/15,2015/16,UTA,Unicaja Malaga,0,24
2327,EL_to_NBA,EuroLeague,NBA,2015/16,2017/18,Unicaja Malaga,SAC,1,26
2336,EL_to_NBA,EuroLeague,NBA,2015/16,2016/17,Maccabi Rapyd Tel Aviv,PHX,0,19
2336,NBA_to_EL,NBA,EuroLeague,2018/19,2020/21,PHX,Maccabi Rapyd Tel Aviv,1,23
2336,NBA_to_EL,NBA,EuroLeague,2019/20,2020/21,TOT,Maccabi Rapyd Tel Aviv,0,23
2355,NBA_to_EL,NBA,EuroLeague,2013/14,2015/16,PHX,CSKA Moscow,1,28
2361,NBA_to_EL,NBA,EuroLeague,2013/14,2015/16,NOP,Bamberger Basketball GmbH,1,25
2361,NBA_to_EL,NBA,EuroLeague,2014/15,2015/16,NOP,Bamberger Basketball GmbH,0,25
