sample,variable,n,n_players,mean_pre,mean_post,mean_delta,ci_lo,ci_hi,ci_lo_clustered,ci_hi_clustered,wilcoxon_p
all episodes (box-score),minutes_per_game,327,162,15.72766342,18.39596043269231,1.4046722629969417,0.04866166284403696,2.7152678516819573,0.10246201867460568,2.717531824637681,0.03875839366848089
all episodes (box-score),fga_per_game,327,162,4.951,5.886298076923077,0.5093272171253822,-0.012966360856269132,1.008091743119266,-0.0034727961401452246,1.0205004786879783,0.05313064471023956
all episodes (box-score),fga_per_min,327,162,0.3110766313974056,0.31586357165706114,0.006061375458901755,-0.0044557853209637845,0.016270088004733865,-0.00508116073421202,0.0169413731065871,0.6798651344941327
all episodes (box-score),usage_proxy_per_min,327,162,0.4152384424707274,0.42227284317352465,0.009303354082128448,-0.00321639480700485,0.021816685081514672,-0.004073318819310263,0.022890121002822523,0.29196148733452054
all episodes (box-score),points_per_game,327,162,6.0746,7.397620192307692,0.6866055045871559,-0.09643119266055059,1.4287767584097852,-0.08499002089864151,1.4674605354449464,0.0669405588981409
all episodes (box-score),efg_pct,575,276,0.4707229452054794,0.4957718965517241,0.024680869565217395,0.012002234782608697,0.037504486956521726,0.012024082663661027,0.0372545184267653,0.0005022263276776626
box-score EL_to_NBA,minutes_per_game,154,102,23.41793318181818,15.34366255144033,-8.161114999999999,-9.517956741883117,-6.831619534090911,-9.763092358404334,-6.5386113381647615,4.7767608891465285e-19
box-score EL_to_NBA,fga_per_game,154,102,7.707792207792208,4.728395061728395,-3.0762337662337664,-3.639092532467533,-2.5018181818181824,-3.729021561965901,-2.3755654729145377,2.33939502682096e-18
box-score EL_to_NBA,fga_per_min,154,102,0.3225946185332999,0.30913708039145876,-0.014828105162584886,-0.028934776038799518,0.0005083177144612664,-0.03164379513203666,0.0030815914667033546,0.0003946118513301667
box-score EL_to_NBA,usage_proxy_per_min,154,102,0.441296541225585,0.4053373172781515,-0.03899451725628183,-0.056337835770560625,-0.020167061148880106,-0.059623364234830833,-0.017113297798157925,1.5808334637241448e-07
box-score EL_to_NBA,points_per_game,154,102,10.468181818181817,5.510329218106997,-5.056363636363636,-5.812868506493506,-4.296920454545455,-5.936325407137907,-4.148635881998797,9.18655766519309e-22
box-score EL_to_NBA,efg_pct,238,154,0.5252058823529412,0.470780658436214,-0.05332857142857143,-0.06820675420168067,-0.0390527731092437,-0.06956754851120775,-0.036961375,1.6386035330446339e-12
box-score NBA_to_EL,minutes_per_game,173,112,12.304826589595377,22.683292138728326,9.919881734104047,8.676207278901733,11.200423410404625,8.552020821646488,11.364706750803169,2.9785604566541325e-25
box-score NBA_to_EL,fga_per_game,173,112,3.7239884393063583,7.5127167630057805,3.7010982658959537,3.209934971098266,4.2063945086705194,3.1504877306064425,4.269290502793297,1.3431584826634162e-24
box-score NBA_to_EL,fga_per_min,173,112,0.30595012845252784,0.32531176459082634,0.02465663566531183,0.009002187536329063,0.03894190794552797,0.007273785870819741,0.04077848119508584,7.399176193424797e-05
box-score NBA_to_EL,usage_proxy_per_min,173,112,0.4036403291520913,0.44606089399766163,0.052296834926724885,0.036282406721594246,0.0677841682210665,0.03406248899623069,0.06964113479585975,2.3993432032359958e-11
box-score NBA_to_EL,points_per_game,173,112,4.11907514450867,10.048554913294797,5.7988439306358375,5.148216763005781,6.47567774566474,5.054346456828346,6.564410196461011,7.327790820509677e-27
box-score NBA_to_EL,efg_pct,337,223,0.4332462427745665,0.5137922848664689,0.07977359050445103,0.06226956231454006,0.09671879821958455,0.060961902041357374,0.09943340747668618,2.135041703924537e-21
primary ≥100 FGA subsample,minutes_per_game,30,11,20.807761290322585,20.087933333333332,-0.9154199999999999,-4.330473083333334,2.5001617499999984,-3.6711032004830915,1.67365520010395,0.7921590935438871
primary ≥100 FGA subsample,fga_per_game,30,11,6.853870967741935,6.810000000000001,-0.09133333333333334,-1.7353500000000004,1.613724999999999,-1.5581631944444443,1.5942731481481474,0.7420719154895175
primary ≥100 FGA subsample,fga_per_min,30,11,0.3236421526303544,0.3300318765431271,0.007716779333795696,-0.02318278688360135,0.0379509306288181,-0.021790716955083264,0.03993429821648475,0.583757072687149
primary ≥100 FGA subsample,usage_proxy_per_min,30,11,0.4280577519108004,0.4337532009104253,0.006197049147890547,-0.03476873085988025,0.04585597608595797,-0.035761473612085086,0.04690555782358372,0.583757072687149
primary ≥100 FGA subsample,points_per_game,30,11,8.62258064516129,8.203,-0.4986666666666666,-2.781083333333333,1.7567916666666645,-2.3259920634920634,1.5501666666666643,0.761065473780036
primary ≥100 FGA subsample,efg_pct,31,11,0.5108,0.4895483870967742,-0.0212516129032258,-0.0484266935483871,0.006677983870967741,-0.04837559523809523,0.004603629201680686,0.0957639540252746
