variable,level,included_n,included_%,excluded_n,excluded_%
position,Center,7.0,22.580645161290324,136.0,24.372759856630825
position,Forward,6.0,19.35483870967742,218.0,39.06810035842294
position,Guard,18.0,58.064516129032256,204.0,36.55913978494624
position,- chi-square p -,,,,0.03609059936440396
direction,EL_to_NBA,19.0,61.29032258064516,224.0,40.14336917562724
direction,NBA_to_EL,12.0,38.70967741935484,334.0,59.85663082437276
direction,- chi-square p -,,,,0.03231648381116025
