direction,sample,outcome,n_episodes,n_players,migrant_delta,control_delta,DiD,ci_lo,ci_hi,ci_lo_clustered,ci_hi_clustered,wilcoxon_p,covariates_used,covariates_dropped,control_pool_n
EL_to_NBA,all episodes,efg_pct,128,87,-0.06754661654135337,-0.005236406250000001,-0.06348703125,-0.08318699218749999,-0.04550539843750001,-0.08634295269291341,-0.04299155078125,2.981857394169638e-10,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,all episodes,three_pt_pct,110,79,-8.48624060150376,0.4268909090909092,-7.811072727272727,-10.376532272727271,-5.328729545454547,-10.908564747474749,-4.8067018190921225,1.1799702552640241e-07,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,all episodes,fga_per_game,47,39,-2.989548872180451,-0.8119148936170212,-2.8748936170212773,-3.7710638297872334,-2.0300000000000002,-3.938162071078432,-1.9003888519503551,8.580528287893685e-09,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,one episode per player,efg_pct,69,69,-0.07450136986301369,-0.0009655072463768128,-0.07581855072463767,-0.1045330652173913,-0.04933624637681159,-0.1045330652173913,-0.04933624637681159,1.4060028640227004e-07,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,one episode per player,three_pt_pct,57,57,-10.46178082191781,0.5825614035087721,-10.80238596491228,-14.833740350877193,-7.054238596491229,-14.833740350877193,-7.054238596491229,3.2255233882465954e-06,fga_per_game+efg_pct+three_pt_pct,-,2224
EL_to_NBA,one episode per player,fga_per_game,24,24,-2.905342465753425,-0.6158333333333333,-3.3970833333333332,-4.660041666666666,-2.2122395833333375,-4.660041666666666,-2.2122395833333375,8.344650268554688e-06,fga_per_game+efg_pct+three_pt_pct,-,2224
NBA_to_EL,all episodes,efg_pct,216,146,0.04792037037037037,0.024687085201793725,0.02396601851851852,0.006708564814814814,0.040490805555555544,0.005523342995953171,0.04163318197674418,5.706933453878927e-05,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,all episodes,three_pt_pct,170,113,7.440352941176472,2.1509417040358745,6.079882352941176,3.7111720588235286,8.604169117647057,3.510680567757522,8.85987185529427,7.959047516419606e-07,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,all episodes,fga_per_game,101,66,2.9001980198019806,0.5453901345291479,2.4607722772277225,1.8954495049504951,2.999963366336633,1.8117275990099009,3.1267922772277226,7.846000896809153e-12,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,one episode per player,efg_pct,133,133,0.0386609022556391,0.026754347826086957,0.012629924812030072,-0.012385751879699251,0.03448860150375936,-0.012385751879699251,0.03448860150375936,0.026726776666061082,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,one episode per player,three_pt_pct,103,103,6.099320388349515,1.8805797101449278,4.479514563106797,1.5924077669902914,7.393201456310676,1.5924077669902914,7.393201456310676,0.0029072490787474424,fga_per_game+efg_pct+three_pt_pct,-,6183
NBA_to_EL,one episode per player,fga_per_game,55,55,2.4694545454545453,0.5733333333333334,2.043381818181818,1.3209836363636362,2.7760990909090895,1.3209836363636362,2.7760990909090895,5.166019165299094e-06,fga_per_game+efg_pct+three_pt_pct,-,6183
