term,beta,se_clustered,p,ci_lo,ci_hi
Intercept,-0.076267124992367,0.19744909502637692,0.6993024804431828,-0.46326024002409244,0.31072599003935847
C(direction)[T.NBA_to_EL],0.1308888631868949,0.3281026243716929,0.6899472914211999,-0.512180463814697,0.7739581901884869
d_minutes_per_game,0.36759274207524323,0.014546387124308712,6.762825030151208e-141,0.339082347206421,0.39610313694406546
