spec,threshold,subset,group,metric,n,n_players,mean_delta,sd_delta,median_delta,ci_lo,ci_hi,rank_biserial,wilcoxon_p,mean_pre,mean_post
harmonised,150,all,NBA_to_EL,efg,4,3,0.03371394590179405,0.05296569027166784,0.038227095985716664,-0.009552467320412567,0.07698035912400067,0.5,0.375,0.4809789273023692,0.5146928732041632
harmonised,150,all,NBA_to_EL,pps,4,3,0.0674278918035881,0.10593138054333567,0.07645419197143333,-0.019104934640825133,0.15396071824800134,0.5,0.375,0.9619578546047384,1.0293857464083265
harmonised,150,all,NBA_to_EL,sxsv,4,3,0.026976451445253707,0.028208194425944178,0.03218755659996192,0.0011385177461193385,0.047603279989679864,0.5,0.25,1.0473908312676656,1.0743672827129194
harmonised,150,all,NBA_to_EL,smoe,4,3,0.014956309553555418,0.051553582722036535,0.025360146531939937,-0.02929108303138705,0.05364742456938103,0.5,0.625,-0.03386769121485893,-0.018911381661303506
harmonised,150,all,NBA_to_EL,three_rate,4,3,-0.046045011478599865,0.23636229404453724,0.04139065415147122,-0.2730847471474276,0.10406822130960064,0.0,1.0,0.5095670282913571,0.46352201681275723
harmonised,150,all,NBA_to_EL,mean_dist,4,3,-0.3909209574244966,1.2845761771114852,-0.038809444525111036,-1.6654195157982734,0.5314660880498945,0.0,0.875,5.090951796046516,4.70003083862202
harmonised,150,all,NBA_to_EL,pps_over_sxsv,4,3,0.040451440358334395,0.1110219740417216,0.06927121606949432,-0.057052870501726805,0.12177316164803942,0.5,0.625,-0.08543297666292718,-0.044981536304592784
harmonised,200,all,ALL,efg,12,6,-0.02535182212260033,0.05030297257664541,-0.04088846335837079,-0.05123191014153802,0.002603832039229198,-0.16666666666666666,0.1513671875,0.5211671034722837,0.4958152813496832
harmonised,200,all,ALL,pps,12,6,-0.05070364424520066,0.10060594515329083,-0.08177692671674158,-0.10246382028307605,0.005207664078458396,-0.16666666666666666,0.1513671875,1.0423342069445674,0.9916305626993664
harmonised,200,all,ALL,sxsv,12,6,-0.02520688068052786,0.0678458075373477,-0.009794768259646869,-0.06332653966311431,0.008933036488438862,-0.16666666666666666,0.423828125,1.0545385200944621,1.0293316394139345
harmonised,200,all,ALL,smoe,12,6,-0.004777372310284737,0.029018742890679274,-0.006816118573409484,-0.019519664390961027,0.011772336335069494,-0.16666666666666666,0.4697265625,-0.007053446917607068,-0.011830819227891809
harmonised,200,all,ALL,three_rate,12,6,0.08986930316549308,0.1323311692823243,0.1237110816045158,0.016239229274954973,0.1568868003306983,0.5,0.0341796875,0.4467870937547686,0.5366563969202617
