spec,sample,group,metric,n,n_players,mean_pre,mean_post,mean_delta,ci_lo,ci_hi,wilcoxon_p
harmonised,all 31 episodes,ALL,efg,31,11,0.5156564030984959,0.4930237599002715,-0.022632643198224504,-0.0489116322546419,0.003785630550659352,0.1756664952263236
harmonised,all 31 episodes,ALL,pps,31,11,1.0313128061969918,0.986047519800543,-0.04526528639644901,-0.0978232645092838,0.007571261101318704,0.1756664952263236
harmonised,all 31 episodes,ALL,sxsv,31,11,1.0345107262701991,1.025334991006274,-0.009175735263925395,-0.031196536618444726,0.01108999572488043,0.529405927285552
harmonised,all 31 episodes,ALL,smoe,31,11,0.0008280464096293001,-0.014313127742484229,-0.015141174152113525,-0.03544535489964299,0.004494980362764832,0.3271495960652828
harmonised,all 31 episodes,EL_to_NBA,efg,19,11,0.540353170634379,0.48903997257304554,-0.05131319806133359,-0.08446148976493226,-0.016436700757589875,0.012359619140625
harmonised,all 31 episodes,EL_to_NBA,pps,19,11,1.080706341268758,0.9780799451460911,-0.10262639612266718,-0.16892297952986451,-0.03287340151517975,0.012359619140625
harmonised,all 31 episodes,EL_to_NBA,sxsv,19,11,1.0370726511688921,1.0255351537714066,-0.011537497397485698,-0.041805373280092074,0.01576353045676316,0.6225624084472656
harmonised,all 31 episodes,EL_to_NBA,smoe,19,11,0.019674531063919705,-0.015778598945778332,-0.03545313000969803,-0.061483098354005526,-0.009226821491289443,0.020412445068359375
harmonised,all 31 episodes,NBA_to_EL,efg,12,8,0.4765531878333477,0.49933142316837936,0.022778235335031566,-0.003946495448982589,0.050008362791454306,0.17626953125
harmonised,all 31 episodes,NBA_to_EL,pps,12,8,0.9531063756666954,0.9986628463367587,0.04555647067006313,-0.007892990897965179,0.10001672558290861,0.17626953125
harmonised,all 31 episodes,NBA_to_EL,sxsv,12,8,1.0304543451806023,1.0250180666281477,-0.0054362785524549135,-0.035059175902237755,0.023236998317572068,0.791015625
harmonised,all 31 episodes,NBA_to_EL,smoe,12,8,-0.02901222095966384,-0.011992798337268561,0.01701942262239527,-0.004394823733252659,0.036773206334196826,0.12939453125
harmonised,one episode per distinct move,ALL,efg,19,11,0.5004960507392129,0.49409923799650923,-0.006396812742703884,-0.04507871994441276,0.028098956717792778,0.9529838562011719
harmonised,one episode per distinct move,ALL,pps,19,11,1.0009921014784258,0.9881984759930185,-0.012793625485407767,-0.09015743988882552,0.056197913435585556,0.9529838562011719
harmonised,one episode per distinct move,ALL,sxsv,19,11,1.0237203378067548,1.0276547858411738,0.0039344480344193885,-0.017873419398516017,0.025811417153317667,0.8595733642578125
harmonised,one episode per distinct move,ALL,smoe,19,11,-0.006505847867351496,-0.015146623469729652,-0.008640775602378158,-0.03748954862092975,0.01772825784064086,0.8905677795410156
harmonised,one episode per distinct move,EL_to_NBA,efg,11,11,0.526858314687643,0.4904872697552213,-0.03637104493242164,-0.08535618334408192,0.012637775116397328,0.240234375
harmonised,one episode per distinct move,EL_to_NBA,pps,11,11,1.053716629375286,0.9809745395104426,-0.07274208986484328,-0.17071236668816384,0.025275550232794656,0.240234375
harmonised,one episode per distinct move,EL_to_NBA,sxsv,11,11,1.0194720380066615,1.0275412362839675,0.008069198277305638,-0.02007776309137043,0.03678695441809527,0.6376953125
harmonised,one episode per distinct move,EL_to_NBA,smoe,11,11,0.018067033117399434,-0.015357324264403404,-0.033424357381802834,-0.07164639710198094,0.0058225287916786345,0.1748046875
harmonised,one episode per distinct move,NBA_to_EL,efg,8,8,0.4642479378101218,0.49906569432827985,0.03481775651815803,-0.004451864012088057,0.07017508403873915,0.1484375
harmonised,one episode per distinct move,NBA_to_EL,pps,8,8,0.9284958756202436,0.9981313886565597,0.06963551303631606,-0.008903728024176114,0.1403501680774783,0.1484375
harmonised,one episode per distinct move,NBA_to_EL,sxsv,8,8,1.0295617500318819,1.0278109164823328,-0.001750833549549205,-0.036535204376093984,0.03273543483005166,1.0
harmonised,one episode per distinct move,NBA_to_EL,smoe,8,8,-0.040293559221384015,-0.014856909877053247,0.02543664934433077,0.0007048847866859796,0.04811274441722203,0.078125
league_specific,all 31 episodes,ALL,efg,31,11,0.5156564030984959,0.4930237599002715,-0.022632643198224504,-0.0489116322546419,0.003785630550659352,0.1756664952263236
league_specific,all 31 episodes,ALL,pps,31,11,1.0313128061969918,0.986047519800543,-0.04526528639644901,-0.0978232645092838,0.007571261101318704,0.1756664952263236
league_specific,all 31 episodes,ALL,sxsv,31,11,1.029403736897639,1.0191930919759966,-0.010210644921642522,-0.035291020332813706,0.01567184070157422,0.31757172010838985
league_specific,all 31 episodes,ALL,smoe,31,11,0.0030988738318734185,-0.01169652830771952,-0.014795402139592937,-0.03525465835282987,0.005023572466364829,0.26389263197779655
league_specific,all 31 episodes,EL_to_NBA,efg,19,11,0.540353170634379,0.48903997257304554,-0.05131319806133359,-0.08446148976493226,-0.016436700757589875,0.012359619140625
league_specific,all 31 episodes,EL_to_NBA,pps,19,11,1.080706341268758,0.9780799451460911,-0.10262639612266718,-0.16892297952986451,-0.03287340151517975,0.012359619140625
