direction,matching,covariate,migrant_mean,matched_control_mean,unmatched_pool_mean,SMD_before,SMD_after
EL_to_NBA,base (paper),fga_per_game,7.95263157894737,7.774436090225562,6.318345323741007,0.5878089775402643,0.06409214278965325
EL_to_NBA,base (paper),efg_pct,0.5342165413533837,0.5327857142857148,0.5310919514388489,0.044212995109705326,0.02024622490503685
EL_to_NBA,base (paper),three_pt_pct,35.67421052631581,35.800045112781966,36.31884892086331,-0.06642930502807388,-0.012967121099433397
EL_to_NBA,base (paper) + exact position,fga_per_game,7.95263157894737,7.780300751879699,6.318345323741007,0.5878089775402643,0.06198278112822087
EL_to_NBA,base (paper) + exact position,efg_pct,0.5342165413533837,0.5327255639097747,0.5310919514388489,0.044212995109705326,0.02109735364513657
EL_to_NBA,base (paper) + exact position,three_pt_pct,35.67421052631581,35.89971428571429,36.31884892086331,-0.06642930502807388,-0.02323792399702482
EL_to_NBA,+ minutes,fga_per_game,7.95263157894737,7.720751879699249,6.318345323741007,0.5878089775402643,0.08340091492121805
EL_to_NBA,+ minutes,efg_pct,0.5342165413533837,0.5320942857142857,0.5310919514388489,0.044212995109705326,0.030029949772449663
EL_to_NBA,+ minutes,three_pt_pct,35.67421052631581,35.78437593984962,36.31884892086331,-0.06642930502807388,-0.011352429394650192
EL_to_NBA,+ minutes,minutes_per_game,23.991193458646624,24.0326772781955,21.024932832733814,0.47714049866803104,-0.006672916794057612
EL_to_NBA,+ minutes + exact position,fga_per_game,7.95263157894737,7.747819548872182,6.318345323741007,0.5878089775402643,0.07366539956076444
EL_to_NBA,+ minutes + exact position,efg_pct,0.5342165413533837,0.5315491729323306,0.5310919514388489,0.044212995109705326,0.03774330397957548
EL_to_NBA,+ minutes + exact position,three_pt_pct,35.67421052631581,35.84514285714286,36.31884892086331,-0.06642930502807388,-0.01761439597720558
EL_to_NBA,+ minutes + exact position,minutes_per_game,23.991193458646624,23.97997406015036,21.024932832733814,0.47714049866803104,0.0018047063519964967
EL_to_NBA,+ minutes + age + experience,fga_per_game,7.95263157894737,7.603007518796995,6.318345323741007,0.5878089775402643,0.1257504067391899
EL_to_NBA,+ minutes + age + experience,efg_pct,0.5342165413533837,0.5307714285714284,0.5310919514388489,0.044212995109705326,0.048748398589018985
EL_to_NBA,+ minutes + age + experience,three_pt_pct,35.67421052631581,35.98485714285716,36.31884892086331,-0.06642930502807388,-0.0320118054101473
EL_to_NBA,+ minutes + age + experience,minutes_per_game,23.991193458646624,23.860577729323307,21.024932832733814,0.47714049866803104,0.021010309639948654
EL_to_NBA,+ minutes + age + experience,age,24.142857142857142,24.858646616541353,27.394784172661872,-0.8734536797963113,-0.1922579885768474
EL_to_NBA,+ minutes + age + experience,experience,1.8721804511278195,1.9007518796992484,3.033723021582734,-0.3859251072648699,-0.00949292080773312
EL_to_NBA,+ minutes + age + experience + exact position,fga_per_game,7.95263157894737,7.543157894736844,6.318345323741007,0.5878089775402643,0.14727671292508193
EL_to_NBA,+ minutes + age + experience + exact position,efg_pct,0.5342165413533837,0.5279941353383459,0.5310919514388489,0.044212995109705326,0.08804714034111123
EL_to_NBA,+ minutes + age + experience + exact position,three_pt_pct,35.67421052631581,36.19162406015038,36.31884892086331,-0.06642930502807388,-0.05331891763734796
EL_to_NBA,+ minutes + age + experience + exact position,minutes_per_game,23.991193458646624,23.779545533834582,21.024932832733814,0.47714049866803104,0.03404481572005996
EL_to_NBA,+ minutes + age + experience + exact position,age,24.142857142857142,25.16691729323309,27.394784172661872,-0.8734536797963113,-0.2750581727328448
EL_to_NBA,+ minutes + age + experience + exact position,experience,1.8721804511278195,1.9248120300751879,3.033723021582734,-0.3859251072648699,-0.017486959382666045
NBA_to_EL,base (paper),fga_per_game,3.985560538116592,4.137721973094171,7.829495390587094,-0.8164658570955147,-0.032319646714617505
NBA_to_EL,base (paper),efg_pct,0.45633228699551576,0.4572024215246638,0.508008442503639,-0.6622613678523102,-0.011151303300775012
NBA_to_EL,base (paper),three_pt_pct,23.747533632287,23.02744394618833,28.32377486656963,-0.29851522949822434,0.04697255387122194
NBA_to_EL,+ minutes,fga_per_game,3.985560538116592,4.137721973094171,7.829495390587094,-0.8164658570955147,-0.032319646714617505
NBA_to_EL,+ minutes,efg_pct,0.45633228699551576,0.4572024215246638,0.508008442503639,-0.6622613678523102,-0.011151303300775012
NBA_to_EL,+ minutes,three_pt_pct,23.747533632287,23.02744394618833,28.32377486656963,-0.29851522949822434,0.04697255387122194
NBA_to_EL,+ minutes + age + experience,fga_per_game,4.020052083333335,4.187958333333335,7.829495390587094,-0.8091397264224526,-0.03566390315638063
NBA_to_EL,+ minutes + age + experience,efg_pct,0.45446875000000003,0.4606613541666666,0.508008442503639,-0.6861437280541952,-0.07936198940611665
NBA_to_EL,+ minutes + age + experience,three_pt_pct,23.50104166666667,23.123750000000012,28.32377486656963,-0.3145942782020796,0.024611313673550305
NBA_to_EL,+ minutes + age + experience,experience,2.0208333333333335,1.9218749999999998,3.274462235160925,-0.3969293414001817,0.03133261048688059
