player_id,direction,gap,origin_league,origin_year,age,position,height_cm,included_100,fga_min_side,games_played,minutes_per_game,fga_per_game,efg_pct,three_pt_pct,points_per_game,turnovers_per_game,ft_attempts_total,fga_total,prior_fga_per_game,prior_efg_pct,prior_three_pt_pct,prior_minutes_per_game,has_prior_season
654,EL_to_NBA,1,EuroLeague,2001,27,Forward,197.0,False,0,4.0,,,0.3333,,,,4.0,21.0,,,,,False
662,EL_to_NBA,1,EuroLeague,2001,21,Guard,203.0,False,0,14.0,21.7583,5.3,0.5467,37.5,6.6,0.8,21.0,75.0,,,,,False
662,EL_to_NBA,0,EuroLeague,2002,21,Guard,203.0,False,0,12.0,24.9167,5.0,0.4915,14.29,5.8,1.8,17.0,59.0,5.3,0.5467,37.5,21.7583,True
667,NBA_to_EL,0,NBA,2000,28,Guard,178.0,False,0,24.0,10.96,3.79,0.3901,16.7,4.42,1.04,39.0,91.0,,,,,False
702,NBA_to_EL,1,NBA,1999,29,Guard,181.0,False,0,12.0,3.0,1.08,0.2692,20.0,0.67,0.25,2.0,13.0,1.67,0.4125,26.3,8.46,True
702,NBA_to_EL,0,NBA,2000,29,Guard,181.0,False,0,10.0,7.6,0.9,0.4444,50.0,0.8,0.6,0.0,9.0,1.08,0.2692,20.0,3.0,True
708,EL_to_NBA,0,EuroLeague,2001,27,Center,216.0,False,0,20.0,26.4225,9.0,0.5525,37.5,14.0,1.8,105.0,181.0,,,,,False
724,EL_to_NBA,1,EuroLeague,2002,21,Center,212.0,False,0,10.0,,,0.4891,,,,53.0,92.0,4.0,0.3846,,19.659,True
724,EL_to_NBA,0,EuroLeague,2003,21,Center,212.0,False,0,9.0,,,0.6,,,,43.0,75.0,,0.4891,,,True
724,NBA_to_EL,1,NBA,2009,28,Center,212.0,False,59,76.0,22.91,7.37,0.5027,20.0,8.41,0.76,106.0,560.0,8.85,0.4693,0.0,24.8,True
724,NBA_to_EL,0,NBA,2010,28,Center,212.0,False,59,47.0,21.66,6.49,0.4984,0.0,7.6,0.7,66.0,305.0,7.37,0.5027,20.0,22.91,True
763,EL_to_NBA,0,EuroLeague,2001,23,Forward,211.0,False,0,20.0,27.18,9.0,0.4889,38.89,12.0,1.6,87.0,180.0,,,,,False
767,EL_to_NBA,1,EuroLeague,2001,19,Center,210.0,False,0,13.0,7.71538,2.3,0.5172,,3.2,0.4,15.0,29.0,,,,,False
767,EL_to_NBA,0,EuroLeague,2002,19,Center,210.0,False,0,14.0,10.7143,3.2,0.4667,,4.4,0.7,32.0,45.0,2.3,0.5172,,7.71538,True
767,NBA_to_EL,0,NBA,2010,27,Center,210.0,False,7,79.0,15.75,2.94,0.4612,0.0,4.42,0.87,179.0,232.0,3.15,0.4878,0.0,13.96,True
767,EL_to_NBA,0,EuroLeague,2011,28,Center,210.0,False,7,4.0,,,0.3889,,,,20.0,18.0,,,,,False
775,NBA_to_EL,1,NBA,1999,26,Guard,198.0,False,0,16.0,11.56,3.56,0.4298,7.1,3.56,0.69,11.0,57.0,0.5,1.0,0.0,1.5,True
775,EL_to_NBA,1,EuroLeague,2004,31,Guard,198.0,False,0,24.0,34.7396,10.8,0.5837,47.62,18.0,1.8,153.0,257.0,9.5,0.602,48.98,35.1429,True
775,EL_to_NBA,0,EuroLeague,2005,31,Guard,198.0,False,0,25.0,35.49,10.8,0.5574,36.54,14.8,2.4,89.0,270.0,10.8,0.5837,47.62,34.7396,True
779,EL_to_NBA,1,EuroLeague,2001,20,Forward,201.0,False,0,2.0,,,,,,,0.0,3.0,,,,,False
779,EL_to_NBA,0,EuroLeague,2002,20,Forward,201.0,False,0,13.0,19.6154,8.3,0.5093,29.41,9.7,1.0,25.0,108.0,,,,,True
779,NBA_to_EL,1,NBA,2011,30,Forward,201.0,False,46,45.0,11.71,2.84,0.457,29.3,2.67,0.44,8.0,128.0,3.5,0.5286,43.8,16.3,True
779,NBA_to_EL,0,NBA,2012,30,Forward,201.0,False,46,39.0,13.54,3.05,0.4286,30.0,2.64,0.36,6.0,119.0,2.84,0.457,29.3,11.71,True
791,EL_to_NBA,1,EuroLeague,2001,21,Forward,199.0,False,0,14.0,19.4619,5.9,0.4458,29.17,6.6,1.6,30.0,83.0,,,,,False
791,EL_to_NBA,0,EuroLeague,2002,21,Forward,199.0,False,0,13.0,26.2308,8.1,0.4952,35.48,9.5,1.2,32.0,105.0,5.9,0.4458,29.17,19.4619,True
800,NBA_to_EL,1,NBA,1999,28,Center,208.0,False,0,40.0,8.88,2.2,0.3977,0.0,2.23,0.25,41.0,88.0,,,,,False
805,NBA_to_EL,0,NBA,2000,24,Guard,192.0,False,0,5.0,6.8,1.4,0.0,0.0,0.0,0.6,0.0,7.0,,,,,False
805,EL_to_NBA,0,EuroLeague,2001,25,Guard,192.0,False,0,19.0,18.007,3.6,0.5,27.27,4.6,1.7,27.0,68.0,,,,,False
805,NBA_to_EL,1,NBA,2002,27,Guard,192.0,False,0,9.0,4.11,0.56,0.0,0.0,0.0,0.22,0.0,5.0,,,,,False
827,NBA_to_EL,1,NBA,1999,31,Center,213.0,False,0,18.0,6.33,1.89,0.4706,0.0,2.06,0.61,8.0,34.0,,,,,False
827,NBA_to_EL,0,NBA,2000,31,Center,213.0,False,0,55.0,14.13,3.38,0.5269,0.0,3.93,1.04,47.0,186.0,1.89,0.4706,0.0,6.33,True
828,NBA_to_EL,0,NBA,2000,28,Center,210.0,False,0,43.0,13.91,2.3,0.3939,0.0,2.4,0.88,33.0,99.0,,,,,False
835,NBA_to_EL,1,NBA,1999,25,Forward,206.0,False,0,7.0,3.57,1.43,0.2,0.0,0.57,0.14,0.0,10.0,,,,,False
843,NBA_to_EL,1,NBA,1999,30,Guard,193.0,False,0,8.0,5.0,2.12,0.3529,28.6,1.62,0.5,2.0,17.0,,,,,False
872,NBA_to_EL,0,NBA,2001,23,Center,213.0,False,0,1.0,6.0,3.0,0.6667,0.0,5.0,1.0,1.0,3.0,,,,,False
877,NBA_to_EL,1,NBA,2000,27,Guard,183.0,False,0,3.0,4.67,1.67,0.0,0.0,0.0,0.67,0.0,5.0,,,,,False
884,NBA_to_EL,0,NBA,2001,24,Center,211.0,False,0,23.0,5.43,0.87,0.4,0.0,1.13,0.48,20.0,20.0,,,,,False
892,NBA_to_EL,0,NBA,2001,24,Guard,196.0,False,0,10.0,4.3,1.9,0.4737,0.0,2.1,0.2,4.0,19.0,,,,,False
892,EL_to_NBA,1,EuroLeague,2002,26,Guard,196.0,False,0,17.0,32.2353,13.3,0.458,35.0,15.1,2.6,73.0,226.0,,,,,False
892,EL_to_NBA,0,EuroLeague,2003,26,Guard,196.0,False,0,20.0,31.775,12.2,0.5943,36.96,17.4,1.6,78.0,244.0,13.3,0.458,35.0,32.2353,True
893,NBA_to_EL,1,NBA,2000,27,Guard,193.0,False,0,33.0,6.27,2.52,0.4458,20.0,2.61,0.36,21.0,83.0,5.75,0.4022,25.0,11.88,True
893,NBA_to_EL,0,NBA,2001,27,Guard,193.0,False,0,25.0,9.92,3.76,0.3191,0.0,2.92,0.52,18.0,94.0,2.52,0.4458,20.0,6.27,True
893,EL_to_NBA,0,EuroLeague,2002,28,Guard,193.0,False,0,17.0,32.8235,11.6,0.5152,33.33,13.9,1.9,61.0,198.0,,,,,False
914,NBA_to_EL,1,NBA,2000,25,Guard,195.0,False,0,47.0,12.19,5.13,0.4647,42.1,5.28,0.62,29.0,241.0,4.44,0.4338,24.1,11.35,True
914,NBA_to_EL,0,NBA,2001,25,Guard,195.0,False,0,63.0,28.1,9.41,0.4494,24.3,9.38,1.0,80.0,593.0,5.13,0.4647,42.1,12.19,True
914,EL_to_NBA,0,EuroLeague,2002,26,Guard,195.0,False,0,16.0,20.9375,8.4,0.5222,37.14,9.2,1.1,8.0,135.0,,,,,False
914,NBA_to_EL,1,NBA,2004,29,Guard,195.0,False,0,64.0,20.48,7.64,0.4172,31.5,6.95,0.55,45.0,489.0,2.55,0.3393,0.0,6.45,True
916,EL_to_NBA,1,EuroLeague,2003,24,Guard,190.0,False,0,19.0,21.5789,4.3,0.5602,40.54,7.2,1.4,53.0,83.0,5.3,0.55,40.62,21.4706,True
916,EL_to_NBA,0,EuroLeague,2004,24,Guard,190.0,False,0,22.0,26.75,7.7,0.5893,42.11,11.6,1.3,69.0,168.0,4.3,0.5602,40.54,21.5789,True
921,NBA_to_EL,1,NBA,2000,31,Forward,208.0,False,0,17.0,8.24,1.71,0.5172,0.0,2.47,0.41,13.0,29.0,5.69,0.4257,0.0,17.04,True
927,NBA_to_EL,1,NBA,2000,35,Forward,208.0,False,0,74.0,22.57,9.91,0.4679,30.4,11.38,1.61,228.0,733.0,10.27,0.4621,30.4,23.13,True
927,NBA_to_EL,0,NBA,2001,35,Forward,208.0,False,0,54.0,15.0,5.43,0.4488,12.5,6.39,1.07,117.0,293.0,9.91,0.4679,30.4,22.57,True
940,NBA_to_EL,1,NBA,2000,26,Guard,192.0,False,0,65.0,17.17,4.82,0.5128,41.1,5.98,0.8,76.0,313.0,4.0,0.475,42.1,14.5,True
940,NBA_to_EL,0,NBA,2001,26,Guard,192.0,False,0,44.0,10.84,4.0,0.4744,36.5,4.75,0.91,46.0,176.0,4.82,0.5128,41.1,17.17,True
943,NBA_to_EL,1,NBA,2000,25,Forward,201.0,False,0,35.0,11.49,3.51,0.4431,36.0,3.54,0.49,21.0,123.0,4.03,0.4111,36.5,12.11,True
943,NBA_to_EL,0,NBA,2001,25,Forward,201.0,False,0,36.0,13.56,3.97,0.458,16.7,4.0,0.89,20.0,143.0,3.51,0.4431,36.0,11.49,True
943,EL_to_NBA,0,EuroLeague,2002,26,Forward,201.0,False,0,20.0,22.5,9.6,0.4763,29.58,11.2,0.7,59.0,190.0,,,,,False
943,NBA_to_EL,1,NBA,2003,28,Forward,201.0,False,0,14.0,4.57,1.43,0.4,40.0,1.14,0.21,0.0,20.0,,,,,False
948,NBA_to_EL,1,NBA,2000,26,Center,211.0,False,0,73.0,13.55,3.79,0.444,0.0,4.37,0.92,90.0,277.0,,,,,False
948,NBA_to_EL,0,NBA,2001,26,Center,211.0,False,0,82.0,16.68,4.68,0.4414,7.7,4.83,0.85,76.0,384.0,3.79,0.444,0.0,13.55,True
951,EL_to_NBA,1,EuroLeague,2003,34,Forward,195.0,False,0,8.0,,,0.4257,27.78,,,19.0,74.0,6.6,0.4812,32.43,23.95,True
955,EL_to_NBA,1,EuroLeague,2005,22,Center,217.0,False,0,13.0,26.2692,7.3,0.5053,,10.4,1.7,58.0,95.0,,0.4318,,,True
955,EL_to_NBA,0,EuroLeague,2006,22,Center,217.0,False,0,20.0,26.3375,7.8,0.5,,10.8,2.0,85.0,156.0,7.3,0.5053,,26.2692,True
964,EL_to_NBA,0,EuroLeague,2002,25,Forward,206.0,False,0,18.0,21.625,10.2,0.4918,28.57,12.8,1.4,59.0,183.0,,,,,False
964,NBA_to_EL,1,NBA,2009,33,Forward,206.0,False,0,75.0,18.8,6.51,0.4949,16.7,7.24,1.08,74.0,488.0,5.94,0.5317,0.0,19.75,True
964,NBA_to_EL,0,NBA,2010,33,Forward,206.0,False,0,10.0,7.1,1.5,0.4667,0.0,1.6,0.4,4.0,15.0,6.51,0.4949,16.7,18.8,True
984,NBA_to_EL,0,NBA,2002,34,Guard,188.0,False,0,28.0,15.71,4.61,0.4031,0.0,5.18,1.43,55.0,129.0,4.25,0.375,25.0,15.88,True
984,NBA_to_EL,0,NBA,2003,35,Guard,188.0,False,0,26.0,8.38,2.0,0.4231,0.0,1.88,0.62,6.0,52.0,4.61,0.4031,0.0,15.71,True
985,NBA_to_EL,1,NBA,2001,24,Guard,198.0,False,0,7.0,4.86,2.0,0.2143,0.0,1.43,0.29,5.0,14.0,,,,,False
985,NBA_to_EL,0,NBA,2002,24,Guard,198.0,False,0,75.0,13.67,2.76,0.3406,29.5,2.59,0.52,78.0,207.0,2.0,0.2143,0.0,4.86,True
988,NBA_to_EL,0,NBA,2002,23,Center,221.0,False,0,26.0,5.31,2.15,0.2857,25.0,1.23,0.35,2.0,56.0,1.82,0.4,0.0,3.86,True
988,EL_to_NBA,0,EuroLeague,2003,24,Center,221.0,False,0,4.0,,,0.8,,,,2.0,5.0,,,,,False
1001,EL_to_NBA,0,EuroLeague,2003,31,Guard,185.0,False,0,10.0,,,0.5109,31.11,,,42.0,92.0,,,,,False
1002,EL_to_NBA,0,EuroLeague,2003,30,Guard,186.0,False,0,12.0,33.75,13.7,0.5732,33.8,20.1,3.1,65.0,164.0,,,,,False
1002,NBA_to_EL,1,NBA,2004,32,Guard,186.0,False,0,15.0,6.93,3.0,0.3333,0.0,2.8,0.47,13.0,45.0,,,,,False
1014,NBA_to_EL,1,NBA,2001,23,Center,215.0,False,0,50.0,12.7,3.56,0.4045,0.0,3.7,0.92,70.0,178.0,1.86,0.2615,0.0,7.4,True
1014,NBA_to_EL,0,NBA,2002,23,Center,215.0,False,0,10.0,7.6,2.6,0.3077,0.0,1.9,0.5,4.0,26.0,3.56,0.4045,0.0,12.7,True
1017,EL_to_NBA,1,EuroLeague,2004,21,Forward,213.0,False,0,12.0,,,0.5833,50.0,,,5.0,36.0,,0.5909,20.0,,True
1017,EL_to_NBA,0,EuroLeague,2005,21,Forward,213.0,False,0,18.0,21.1806,7.2,0.5962,43.4,10.9,1.6,59.0,130.0,,0.5833,50.0,,True
