player_id,direction,gap,age,fga_pre,fga_post,efg_pre,efg_post,d_efg,pps_pre,pps_post,d_pps,sxsv_pre,sxsv_post,d_sxsv,smoe_pre,smoe_post,d_smoe,three_rate_pre,three_rate_post,d_three_rate,mean_dist_pre,mean_dist_post,d_mean_dist,pps_over_sxsv_pre,pps_over_sxsv_post,d_pps_over_sxsv
11,EL_to_NBA,0,27,194.0,369.0,0.6005154639175257,0.5013550135501355,-0.0991604503673903,1.2010309278350515,1.002710027100271,-0.1983209007347806,1.1577680050470724,1.15972408286403,0.001956077816957613,0.01771446779669786,-0.06870027755692629,-0.08641474535362414,0.39690721649484534,0.45528455284552843,0.058377336350683096,4.039130749156078,4.029696071430491,-0.009434677725586482,0.04326292278797905,-0.15701405576375915,-0.2002769785517382
11,NBA_to_EL,0,28,369.0,114.0,0.5013550135501355,0.5263157894736842,0.024960775923548728,1.002710027100271,1.0526315789473684,0.049921551847097456,1.15972408286403,1.0923496361914253,-0.06737444667260473,-0.06870027755692629,-0.031243645584167153,0.037456631972759134,0.45528455284552843,0.32456140350877194,-0.1307231493367565,4.029696071430491,3.5148040798368227,-0.5148919915936685,-0.15701405576375915,-0.03971805724405697,0.11729599851970218
75,EL_to_NBA,0,31,136.0,294.0,0.40441176470588236,0.5136054421768708,0.1091936774709884,0.8088235294117647,1.0272108843537415,0.2183873549419768,1.0265315604300873,1.091917431738912,0.06538587130882467,-0.0685478308263176,-0.02197636458132873,0.04657146624498887,0.8455882352941176,0.5816326530612245,-0.26395558223289317,6.8991157670563075,5.301640942630734,-1.5974748244255732,-0.2177080310183226,-0.06470654738517045,0.15300148363315214
75,NBA_to_EL,1,33,294.0,128.0,0.5136054421768708,0.52734375,0.013738307823129237,1.0272108843537415,1.0546875,0.027476615646258473,1.091917431738912,1.0897391494982407,-0.002178282240671292,-0.02197636458132873,-0.019727359633493095,0.0022490049478356353,0.5816326530612245,0.6328125,0.05117984693877553,5.301640942630734,5.551431808673723,0.2497908660429884,-0.06470654738517045,-0.03505164949824069,0.029654897886929765
75,NBA_to_EL,0,33,296.0,128.0,0.4527027027027027,0.52734375,0.07464104729729731,0.9054054054054054,1.0546875,0.14928209459459463,1.1103916966069232,1.0897391494982407,-0.020652547108682473,-0.08449010382263462,-0.019727359633493095,0.06476274418914153,0.5844594594594594,0.6328125,0.04835304054054057,5.41552881277192,5.551431808673723,0.13590299590180255,-0.2049862912015178,-0.03505164949824069,0.1699346417032771
85,EL_to_NBA,1,24,161.0,157.0,0.6614906832298136,0.4745222929936306,-0.18696839023618306,1.3229813664596273,0.9490445859872612,-0.3739367804723661,1.1099175600181141,1.0915538887594547,-0.018363671258659453,0.08693056712911389,-0.05471405126473248,-0.14164461839384637,0.515527950310559,0.5286624203821656,0.013134470071606619,4.863942382993066,4.98505148533222,0.12110910233915373,0.21306380644151313,-0.14250930277219354,-0.35557310921370666
85,EL_to_NBA,0,24,206.0,157.0,0.6747572815533981,0.4745222929936306,-0.2002349885597675,1.3495145631067962,0.9490445859872612,-0.400469977119535,1.1353930355084623,1.0915538887594547,-0.043839146749007574,0.081623093249331,-0.05471405126473248,-0.13633714451406348,0.529126213592233,0.5286624203821656,-0.00046379321006739804,4.8163388668085325,4.98505148533222,0.16871261852368757,0.21412152759833392,-0.14250930277219354,-0.35663083037052745
85,NBA_to_EL,0,25,157.0,195.0,0.4745222929936306,0.5615384615384615,0.08701616854483096,0.9490445859872612,1.123076923076923,0.17403233708966193,1.0915538887594547,1.1301992775526084,0.03864538879315371,-0.05471405126473248,-0.010362706304804343,0.04435134495992814,0.5286624203821656,0.5282051282051282,-0.0004572921770373828,4.98505148533222,4.868855463982248,-0.11619602134997198,-0.14250930277219354,-0.007122354475685322,0.1353869482965082
92,EL_to_NBA,1,32,138.0,229.0,0.5253623188405797,0.4585152838427948,-0.06684703499778494,1.0507246376811594,0.9170305676855895,-0.13369406999556988,0.9256759178659099,0.9603496406028245,0.0346737227369146,0.06632897769827964,-0.012675450620526853,-0.0790044283188065,0.5362318840579711,0.26200873362445415,-0.2742231504335169,5.628745098155957,4.04135117677208,-1.5873939213838764,0.12504871981524956,-0.04331907291723491,-0.16836779273248448
92,EL_to_NBA,0,32,168.0,229.0,0.4791666666666667,0.4585152838427948,-0.02065138282387191,0.9583333333333334,0.9170305676855895,-0.04130276564774382,0.8602088102182842,0.9603496406028245,0.10014083038454025,0.039603284921564855,-0.012675450620526853,-0.05227873554209171,0.43452380952380953,0.26200873362445415,-0.17251507589935539,5.442061169050236,4.04135117677208,-1.4007099922781556,0.09812452311504916,-0.04331907291723491,-0.14144359603228407
92,NBA_to_EL,1,34,229.0,140.0,0.4585152838427948,0.48214285714285715,0.023627573300062377,0.9170305676855895,0.9642857142857143,0.04725514660012475,0.9603496406028245,1.0011805084374157,0.04083086783459122,-0.012675450620526853,-0.031620176098089474,-0.01894472547756262,0.26200873362445415,0.3142857142857143,0.05227698066126013,4.04135117677208,4.120549203908892,0.07919802713681179,-0.04331907291723491,-0.03689479415170138,0.006424278765533531
102,EL_to_NBA,1,28,219.0,321.0,0.5799086757990868,0.5311526479750779,-0.048756027824008896,1.1598173515981736,1.0623052959501558,-0.09751205564801779,1.0942369076550273,1.0645080699859468,-0.02972883766908052,0.02295869016700893,0.005629151816590422,-0.01732953835041851,0.3607305936073059,0.6355140186915887,0.27478342508428283,4.11362686519869,5.739583389650888,1.6259565244521985,0.06558044394314622,-0.0022027740357910552,-0.06778321797893727
102,EL_to_NBA,0,28,214.0,321.0,0.5210280373831776,0.5311526479750779,0.010124610591900285,1.0420560747663552,1.0623052959501558,0.02024922118380057,1.0727338339023484,1.0645080699859468,-0.008225763916401618,-0.01755996786715358,0.005629151816590422,0.023189119683744003,0.4485981308411215,0.6355140186915887,0.18691588785046725,4.739243837201322,5.739583389650888,1.0003395524495664,-0.030677759135993243,-0.0022027740357910552,0.028474985100202188
102,NBA_to_EL,1,30,321.0,197.0,0.5311526479750779,0.5025380710659898,-0.028614576909088085,1.0623052959501558,1.0050761421319796,-0.05722915381817617,1.0645080699859468,1.11940253516993,0.05489446518398311,0.005629151816590422,-0.04820940721190169,-0.05383855902849211,0.6355140186915887,0.2436548223350254,-0.39185919635656336,5.739583389650888,3.5061649911532737,-2.2334183984976144,-0.0022027740357910552,-0.11432639303795034,-0.11212361900215928
102,NBA_to_EL,0,30,141.0,197.0,0.4078014184397163,0.5025380710659898,0.09473665262627351,0.8156028368794326,1.0050761421319796,0.18947330525254702,1.0437345276438716,1.11940253516993,0.07566800752605829,-0.08601264878657748,-0.04820940721190169,0.03780324157467579,0.6028368794326241,0.2436548223350254,-0.3591820570975987,5.585648806519431,3.5061649911532737,-2.079483815366157,-0.22813169076443907,-0.11432639303795034,0.11380529772648873
126,EL_to_NBA,1,29,231.0,314.0,0.47835497835497837,0.5031847133757962,0.02482973502081781,0.9567099567099567,1.0063694267515924,0.04965947004163562,0.9923770784582691,1.045154995074894,0.0527779166166249,-0.0224574158531465,-0.017583008633252226,0.004874407219894274,0.49783549783549785,0.6847133757961783,0.18687787796068045,4.99695083232355,5.923552547462142,0.9266017151385926,-0.035667121748312325,-0.0387855683233016,-0.0031184465749892754
126,EL_to_NBA,0,29,201.0,314.0,0.4900497512437811,0.5031847133757962,0.013134962132015093,0.9800995024875622,1.0063694267515924,0.026269924264030187,1.0084612248642684,1.045154995074894,0.03669377021062559,-0.0023868231129282494,-0.017583008633252226,-0.015196185520323976,0.5621890547263682,0.6847133757961783,0.12252432106981015,5.293449793639804,5.923552547462142,0.6301027538223378,-0.0283617223767062,-0.0387855683233016,-0.0104238459465954
