player_id,direction,gap,in_primary,minutes_per_game_pre,minutes_per_game_post,d_minutes_per_game,fga_per_game_pre,fga_per_game_post,d_fga_per_game,fga_per_min_pre,fga_per_min_post,d_fga_per_min,usage_proxy_per_min_pre,usage_proxy_per_min_post,d_usage_proxy_per_min,points_per_game_pre,points_per_game_post,d_points_per_game,efg_pct_pre,efg_pct_post,d_efg_pct
11,EL_to_NBA,1,False,21.791,14.94,-6.851000000000001,7.9,5.43,-2.4700000000000006,0.36253499151025653,0.36345381526104414,0.0009188237507876118,0.47144845731418167,0.4431057563587684,-0.028342700955413247,10.0,6.25,-3.75,0.5,0.5014,0.0013999999999999568
11,EL_to_NBA,0,True,21.2529,14.94,-6.312900000000001,9.1,5.43,-3.67,0.42817686056961635,0.36345381526104414,-0.0647230453085722,0.5549728558782873,0.4431057563587684,-0.11186709951951884,12.0,6.25,-5.75,0.5548,0.5014,-0.0534
11,NBA_to_EL,0,True,14.94,,,5.43,,,0.36345381526104414,,,0.4431057563587684,,,6.25,,,0.5014,0.5304,0.029000000000000026
11,NBA_to_EL,0,False,2.0,17.0539,15.053899999999999,2.0,5.7,3.7,1.0,0.33423439799693916,-0.6657656020030609,1.0,0.4420494236899869,-0.5579505763100131,0.0,8.5,8.5,0.0,0.5848,0.5848
12,EL_to_NBA,1,False,24.3,14.35,-9.950000000000001,5.9,4.88,-1.0200000000000005,0.24279835390946503,0.3400696864111498,0.09727133250168479,0.37711934156378596,0.4410801393728223,0.06396079780903635,8.4,5.89,-2.5100000000000007,0.4958,0.5179,0.02210000000000001
12,NBA_to_EL,1,False,15.0,,,5.75,,,0.38333333333333336,,,0.48633333333333334,,,5.88,,,0.4783,0.4286,-0.04970000000000002
12,NBA_to_EL,0,False,14.36,,,5.05,,,0.3516713091922006,,,0.44245053924719663,,,5.82,,,0.4949,0.4286,-0.06630000000000003
19,EL_to_NBA,1,False,16.3439,2.17,-14.173900000000001,4.2,1.33,-2.87,0.2569766090100894,0.6129032258064516,0.3559266167963622,0.3328458935749729,0.7142857142857143,0.3814398207107414,4.5,1.0,-3.5,0.4194,0.25,-0.1694
19,EL_to_NBA,0,False,22.878,2.17,-20.708,9.1,1.33,-7.77,0.39776204213655036,0.6129032258064516,0.21514118366990126,0.5061631261473905,0.7142857142857143,0.20812258813832385,10.9,1.0,-9.9,0.4826,0.25,-0.23259999999999997
19,NBA_to_EL,0,False,2.17,16.6812,14.5112,1.33,6.0,4.67,0.6129032258064516,0.3596863534997482,-0.2532168723067034,0.7142857142857143,0.46309618013092585,-0.25118953415478845,1.0,8.0,7.0,0.25,0.5655,0.3155
23,NBA_to_EL,1,False,8.39,,,1.88,,,0.2240762812872467,,,0.2832737385776718,,,2.27,,,0.5403,0.4706,-0.06969999999999998
23,NBA_to_EL,0,False,6.98,,,1.96,,,0.2808022922636103,,,0.30945558739255014,,,1.82,,,0.4659,0.4706,0.0047000000000000375
59,NBA_to_EL,1,False,17.51,,,5.71,,,0.32609937178754994,,,0.4127053448449625,,,5.82,,,0.4519,0.5192,0.06729999999999997
59,NBA_to_EL,0,False,6.19,,,1.77,,,0.2859450726978998,,,0.3777884714536142,,,1.72,,,0.4277,0.5192,0.09149999999999997
64,EL_to_NBA,1,False,21.0569,6.83,-14.226899999999999,8.4,2.08,-6.32,0.3989191191485927,0.30453879941434847,-0.09438031973424421,0.5384616602317214,0.41337237676915567,-0.1250892834625657,12.0,2.0,-10.0,0.5572,0.44,-0.11720000000000003
64,EL_to_NBA,0,False,13.0947,6.83,-6.2646999999999995,3.6,2.08,-1.52,0.27492038763774657,0.30453879941434847,0.029618411776601905,0.38036762965169113,0.41337237676915567,0.03300474711746454,5.3,2.0,-3.3,0.5899,0.44,-0.14989999999999998
64,NBA_to_EL,0,False,6.83,17.1238,10.2938,2.08,5.6,3.5199999999999996,0.30453879941434847,0.32703021525595954,0.022491415841611073,0.41337237676915567,0.4205508456901255,0.007178468920969849,2.0,7.7,5.7,0.44,0.5677,0.12769999999999998
75,EL_to_NBA,1,False,18.7167,18.5,-0.21669999999999945,6.4,5.88,-0.5200000000000005,0.34194061987422997,0.3178378378378378,-0.024102782036392156,0.45627701464467557,0.4086918918918919,-0.04758512275278365,7.2,7.04,-0.16000000000000014,0.4107,0.5136,0.10289999999999994
75,EL_to_NBA,0,True,18.1457,18.5,0.3542999999999985,5.8,5.88,0.08000000000000007,0.3196349548377852,0.3178378378378378,-0.0017971169999473902,0.40365023829514746,0.4086918918918919,0.0050416535967444664,6.0,7.04,1.04,0.4365,0.5136,0.07709999999999995
75,NBA_to_EL,1,True,18.5,21.05,2.5500000000000007,5.88,5.8,-0.08000000000000007,0.3178378378378378,0.2755344418052256,-0.042303396032612184,0.4086918918918919,0.37261179386553755,-0.03608009802635437,7.04,8.0,0.96,0.5136,0.5037,-0.009899999999999909
75,NBA_to_EL,0,True,16.46,21.05,4.59,4.7,5.8,1.0999999999999996,0.28554070473876064,0.2755344418052256,-0.010006262933535015,0.38511832436498294,0.37261179386553755,-0.01250653049944539,5.65,8.0,2.3499999999999996,0.4527,0.5037,0.051000000000000045
85,EL_to_NBA,1,True,16.5718,11.0,-5.5718,4.5,3.57,-0.9300000000000002,0.2715456377701879,0.3245454545454545,0.052999816775266606,0.36152446391527243,0.4227272727272728,0.06120280881200035,6.7,3.93,-2.77,0.6615,0.4745,-0.187
