direction,sample,outcome,n,n_players,migrant_delta,control_delta,DiD,ci_lo,ci_hi,ci_lo_clustered,ci_hi_clustered,wilcoxon_p
EL_to_NBA,all episodes,efg_pct,128,87,-0.0623609022556391,-0.005236406250000001,-0.05809875,-0.07647852343749999,-0.04078675781250001,-0.07888984170942163,-0.039336461455451034,5.240526717730962e-10
EL_to_NBA,all episodes,three_pt_pct,110,79,-7.620827067669173,0.4268909090909092,-7.082890909090908,-9.555015,-4.668288636363639,-10.054954090909089,-4.264451537137241,5.228735975053754e-07
EL_to_NBA,all episodes,fga_per_game,47,39,-2.9115037593984963,-0.8119148936170212,-2.712340425531915,-3.53447340425532,-1.9336117021276598,-3.696893125,-1.8064715136054432,8.580528287893685e-09
EL_to_NBA,one episode per distinct move,efg_pct,82,82,-0.07635,-0.007598292682926833,-0.0703151219512195,-0.09503832926829267,-0.04685734146341463,-0.09493114024390244,-0.04718977439024393,5.361605749125863e-08
EL_to_NBA,one episode per distinct move,three_pt_pct,73,73,-8.325238095238095,0.4905753424657532,-8.207287671232876,-11.53434726027397,-5.008219863013702,-11.642670547945205,-4.892398630136987,2.0639577089605852e-05
EL_to_NBA,one episode per distinct move,fga_per_game,31,31,-3.2716666666666665,-0.9690322580645161,-2.3812903225806448,-3.415604838709677,-1.390959677419355,-3.4228225806451604,-1.3675725806451637,5.0222501158714294e-05
EL_to_NBA,one episode per player,efg_pct,69,69,-0.07141917808219177,-0.0009655072463768128,-0.07255768115942027,-0.10097901449275362,-0.04743036956521739,-0.10097901449275362,-0.04743036956521739,1.7080900170094444e-07
EL_to_NBA,one episode per player,three_pt_pct,57,57,-9.687808219178082,0.5825614035087721,-9.811157894736843,-13.721834210526318,-6.154692982456141,-13.721834210526318,-6.154692982456141,1.7517827675745285e-05
EL_to_NBA,one episode per player,fga_per_game,24,24,-2.8364383561643836,-0.6158333333333333,-3.2095833333333332,-4.400895833333333,-2.111604166666668,-4.400895833333333,-2.111604166666668,8.344650268554688e-06
NBA_to_EL,all episodes,efg_pct,216,146,0.03878888888888889,0.016911838565022423,0.022861759259259262,0.005108201388888885,0.03901550925925925,0.004332539803348826,0.040853849160650164,5.8537171703763084e-05
NBA_to_EL,all episodes,three_pt_pct,170,113,6.128588235294118,1.1583856502242156,6.040823529411765,3.7205470588235303,8.542254411764707,3.5006338406292756,8.815306389165835,2.458653179408017e-06
NBA_to_EL,all episodes,fga_per_game,101,66,2.7374257425742576,0.46220627802690584,2.4100594059405944,1.8599212871287125,2.9290321782178217,1.775042512376238,3.0554358477970625,5.763688403430262e-12
NBA_to_EL,one episode per distinct move,efg_pct,156,146,0.048205128205128206,0.021101242236024848,0.02757935897435897,0.005646548076923077,0.04856916025641026,0.005501864039735099,0.04837236070381232,0.00018497300091859558
NBA_to_EL,one episode per distinct move,three_pt_pct,123,113,7.625284552845529,1.7062111801242235,7.164308943089432,4.323530487804879,10.298510162601621,4.230820672893633,10.31908643815201,7.682829620163739e-06
NBA_to_EL,one episode per distinct move,fga_per_game,67,66,3.1729850746268657,0.562807453416149,2.7671343283582086,2.1255567164179108,3.4099455223880595,2.1271585594753506,3.4118227272727273,8.228658807591605e-10
NBA_to_EL,one episode per player,efg_pct,133,133,0.029647368421052627,0.016995797101449276,0.013741804511278191,-0.01123363533834587,0.03544292481203007,-0.01123363533834587,0.03544292481203007,0.008887228073738828
NBA_to_EL,one episode per player,three_pt_pct,103,103,4.5740776699029135,0.6962318840579712,4.505145631067961,1.7657742718446596,7.300572815533977,1.7657742718446596,7.300572815533977,0.003322017308991906
NBA_to_EL,one episode per player,fga_per_game,55,55,2.253818181818182,0.4778840579710145,1.9667636363636363,1.2761799999999999,2.6605190909090912,1.2761799999999999,2.6605190909090912,4.22850133070501e-06
