league,n_player_seasons,pearson_r_sxSV,spearman_r_sxSV,mean_sxSV_harmonised,mean_sxSV_league_specific,mean_abs_diff
EuroLeague,308,0.8967079124199928,0.9066270688926519,1.0759456849814215,1.0614215495077992,0.042227957433960975
NBA,120,0.9988601948336989,0.9979512466143481,1.0273381425792096,1.0268716592742644,0.002532094946889015
